,Gene_Name,mantis_ml_proba,mantis_ml_perc,
113,ARL6,0.995954798873076,99.3933211639643,
114,GRIN1,0.995943789611689,99.3879523247074,
115,TYR,0.995792452298013,99.3825834854504,
116,F7,0.995787218189817,99.3772146461935,
117,MTHFD1L,0.995763029564017,99.3718458069365,
118,HEXB,0.995723113480902,99.3664769676795,
119,SLC8A1,0.995688386354775,99.3611081284226,
120,IFT57,0.995597887420637,99.3557392891656,
121,PITX2,0.995583650402164,99.3503704499087,
122,ACADVL,0.995561284277219,99.3450016106517,
123,RP1,0.995550543877268,99.3396327713948,
124,MIP,0.995432055196606,99.3342639321378,
125,ITGA8,0.995323233390553,99.3288950928809,
126,COL1A2,0.995318698530816,99.3235262536239,
127,LRP6,0.995312932411561,99.318157414367,
128,CRB1,0.99528141066046,99.31278857511,
129,PAX6,0.995255611593635,99.3074197358531,
